# Ширина входной щели 0.35 мм, ширина выходной щели 0.35 мм
# Цена деления прибора, по которому меряем запирающее напряжение, составляет 0.25 В
# Длина волны, градусы | Запирающее напряжение, деления
1900	7
2000	6
2100	6
2200	6
2300	5.5
2400	5.2
2500	4.8
2600	4.4
2700	4
2800	3.4
2900	3
3000	2.4
3100	1.6
3200	1
3250	0.4
3300	0
